"metric","w","p","mean_Host","SD_Host","mean_Sym","SD_Sym"
"sum_v",30,0.605841217605923,1.78,0.26,1.9,0.325
"trophic_position",40,0.407867132867133,2.49,0.148,2.36,0.258
