"","metric","initial_control.p.value","initial_control.W","initial_shade.p.value","initial_shade.W","initial_deep.p.value","initial_deep.W"
"1","AFDW.mg.cm2",5.737374e-01,3.800000e+01,5.358197e-01,3.400000e+01,1.948718e-01,1.900000e+01
"2","calice_density",8.039124e-01,4.180000e+02,4.898551e-01,3.610000e+02,9.285868e-01,3.960000e+02
"3","chl_ug.sym",3.504790e-02,4.840000e+02,6.701469e-03,5.100000e+02,9.388851e-05,5.550000e+02
"4","chla.ug.cm2",7.383159e-04,1.900000e+02,3.089019e-03,2.400000e+02,3.608091e-03,2.050000e+02
"5","cre.umol.mgprot",4.125411e-01,3.550000e+02,8.658649e-01,2.600000e+02,6.152668e-01,2.860000e+02
"6","lipids.mg.cm2",5.737374e-01,3.800000e+01,3.356643e-01,3.700000e+01,8.665113e-01,2.600000e+01
"7","prot_mg.cm2",9.340497e-01,4.410000e+02,2.403361e-01,3.540000e+02,7.137941e-01,3.670000e+02
"8","sym.cm2",4.422637e-04,1.650000e+02,1.687905e-04,1.750000e+02,1.615700e-09,5.900000e+01
