"variable","treatment","mean","sd"
"light","Control",13.6096024331957,25.1870855323207
"light","Deep",3.09841407777536,5.74608341987282
"light","Shade",4.49293938735607,8.5414412806264
"temp","Control",19.7808419628286,1.10697417139404
"temp","Deep",19.2384079219466,1.06661492827926
"temp","Shade",19.7117894125223,1.10354826116496
