"","metric","initial_control","initial_shade","initial_deep"
"1","AFDW.mg.cm2",0.5737,0.5358,0.1949
"2","calice_density",0.8039,0.4899,0.9286
"3","chl_ug.sym",0.035,0.0067,1e-04
"4","chla.ug.cm2",7e-04,0.0031,0.0036
"5","cre.umol.mgprot",0.4125,0.8659,0.6153
"6","lipids.mg.cm2",0.5737,0.3357,0.8665
"7","prot_mg.cm2",0.934,0.2403,0.7138
"8","sym.cm2",4e-04,2e-04,0
